autobotdescmgr.1	战斗经验值奖励{0}%
etc.gamemonth_notice	今天在爱琳是{0}。\t今天的额外奖励如下...。\t{1}
etc.gamemonth_samhain	萨温(Samhain)
etc.gamemonth_samhain_desc	年龄增加获得 AP。\t提高饮食的基本效果。\t完成技能的完全修炼时增加获得的经验值。
etc.gamemonth_samhain_desc_2	年龄增加获得 AP。\n提高饮食的基本效果。\n完成技能的完全修炼时增加获得的经验值。
etc.gamemonth_saturday	周六
etc.gamemonth_sunday	周日
etc.gamemonth_thursday	周四
etc.gamemonth_tuesday	周二
etc.gamemonth_wednesday	周三
etc.gameword.accessory	饰品
etc.gameword.ceann_harbor	凯安港口
etc.gameword_elemental_fire	火属性
etc.gameword_elemental_ice	冰属性
etc.gameword_elemental_lightning	雷属性
etc.gameword_etc_exp	经验值
etc.gameword_item.attack_max	最大攻击力
etc.gameword_item.attack_min	最小攻击力
etc.gameword_item.attack_speed	攻击速度
etc.gameword_item.balance	平衡性
etc.gameword_item.critical	暴击率
etc.gameword_item.defense	防御力
etc.gameword_item.down_hit_count	连击次数
etc.gameword_item.durability	耐久度
etc.gameword_item.durability_max	最大耐久度
etc.gameword_item.protect	保护
etc.gameword_item.range	远程攻击距离
etc.gameword_item.wound_max	最大负伤率
etc.gameword_item.wound_min	最小负伤率
etc.gameword_param_age	年龄
etc.gameword_param_attackmax	最大伤害
etc.gameword_param_attackmin	最小伤害
etc.gameword_param_ciritcal	暴击率
etc.gameword_param_defense	防御
etc.gameword_param_dexterity	敏捷
etc.gameword_param_food	饥饿度
etc.gameword_param_intelligence	智力
etc.gameword_param_level	等级
etc.gameword_param_life	生命值
etc.gameword_param_lifemax	最大生命值
etc.gameword_param_luck	幸运
etc.gameword_param_mana	魔法值
etc.gameword_param_manamax	最大魔法值
etc.gameword_param_protect	保护
etc.gameword_param_rate	伤害平衡
etc.gameword_param_stamina	体力值
etc.gameword_param_staminamax	最大体力值
etc.gameword_param_strength	力量
etc.gameword_param_wattackmax	最大负伤率
etc.gameword_param_wattackmin	最小负伤率
etc.gameword_param_will	意志
etc.gameword_param_wound	负伤
etc.house_estate.bidding_due	{0}月{1}日  {2}点{3}分
etc.house_form.site_address_num	号
etc.house_form.site_address_street	街
etc.interface_houseestate.0	{0}月{1}日  {2}点{3}分
etc.invalid_material	材料中有没有完全完成的物品
etc.invalid_skill_trainingcondition	\n技能数据有误。\n完成技能修炼经验值100以下。\n技能名称 : {0}， 技能等级 : {1}
etc.journaltime	{0}月 {1}日 {2}点
etc.option.in_arbeit	执行了{0}兼职 {1}次以上时
etc.option.in_broken	断时
etc.option.in_condition	{0}状态时
etc.option.in_month	{0}时
etc.option.in_title	用{0}头衔时
etc.option.not_in_broken	未断时
etc.quest_of_who	{0}的 {1}
etc.quest_result_desc_item_quantity	{0} {1} 个
etc.quest_result_desc_reward_ap	AP {0}
etc.quest_result_desc_reward_exp	{0:GW_EXP} {1:exp_value}
etc.quest_result_desc_reward_gold	赏金 {0}
etc.quest_result_desc_reward_questscroll	任务卷轴
etc.quest_result_desc_reward_unit_of_ap	点
etc.quest_result_desc_reward_writechronicle	记录在探查年表
etc.ruin_discoverer	{0}发现的{1}
etc.skill_training_string	练习
interface_buffer.1	{0} 恢复速度 {1}%
interface_buffer.2	{0}恢复 {1}每秒 {2}点
interface_buffer.3	{0:param} {1:value} 增加
interface_buffer.4	{0:param} {1:value} 减少
interface_character.1	现在还不能移动大陆。
interface_character.2	卡普港口
interface_character.3	首先尝试一下，从卡普乘船访问贝尔法斯特。
interface_character.4	目前无法使用转移大陆。
interface_character.5	现在还不能移动大陆。
interface_character.6	夺旗活动参与中无法使用转移大陆。
interface_character.7	参与骑士冲锋战时，无法使用转移大陆。
interface_character.8	目前状态下无法使用转移大陆。
interface_character.9	在农场无法使用转移大陆。
interface_character.10	在美容室无法使用转移大陆.
interface_character.11	耳朵
interface_character.12	眼睛
interface_character.13	嘴
interface_character.14	类型的道具无法同时穿戴。
interface_character.15	 
interface_character.16	不能这么穿。
interface_character.17	该场所中无法移动大陆。
interface_character.18	现在不能执行。\n完成[大陆的形势]任务后，才能移动大陆。
interface_characteretc.1	无法保存当前地域.
interface_characteretc.2	战斗途中,无法进行保存.
interface_characteretc.3	在骑乘状态下,无法进行保存.
interface_characteretc.4	在骑士冲锋战途中,无法进行保存.
interface_characteretc.5	在服装大赛途中,无法进行保存.
interface_characteretc.6	在骑乘状态下，无法进行传送。
interface_characteretc.7	战斗中无法进行传送.
interface_characteretc.8	在乘坐木筏/热气球/船只时，无法进行传送。
interface_characteretc.9	在骑士冲锋战途中，无法进行传送。
interface_characteretc.10	无法进行传送的状态。
interface_characteretc.11	无法记录当前地域.
interface_characteretc.12	无法使用该人物来观看。
interface_characteretc.13	在当前场所无法观看。
interface_characteretc.14	在死亡状态下无法观看。
interface_characteretc.15	在骑乘状态下无法观看。
interface_characteretc.16	在骑士冲锋战途中无法观看。
interface_characteretc.17	在服装大赛途中无法观看。
interface_characteretc.18	在贸易途中无法观看。
interface_characteretc.19	在热气球或木筏上无法观看。
interface_characteretc.20	在PVP途中无法观看。
interface_characteretc.21	不能移动的区域
interface_characteretc.22	无法登陆的区域。
interface_characteretc.23	贸易中无法传送。
interface_condition.1	手中拿满物品，无法执行其它行动。\n请更换装备后重试。
interface_dungeonguide.1	移动失败。
interface_dungeonguide.2	移动失败。\n请确认进入条件。
interface_dungeonguide.3	正在进行新手教程的角色无法使用。
interface_echostone.1	力量
interface_echostone.2	智力
interface_echostone.3	敏捷
interface_echostone.4	意志
interface_echostone.5	生命力，魔法，体力
interface_echostone.6	奇怪的道具
interface_echostone.7	{0}难易度以上才能使用。
interface_event.1	尚未获得特性，无法使用道具。
interface_event.2	딱지치기 이벤트 중이 아닙니다.
interface_event.3	이미 진행 중인 대결입니다
interface_event.4	대결을 진행할 수 없는 지역입니다.
interface_event.5	전투 불능상태에서는 진행할 수 없습니다.
interface_event.6	대전 중에는 진행할 수 없습니다.
interface_event.7	펫 대전 중에는 진행할 수 없습니다.
interface_event.8	탑승 중에는 진행할 수 없습니다.
interface_event.9	스키를 타는 도중에는 진행할 수 없습니다.
interface_event.10	패션쇼 중에는 진행할 수 없습니다.
interface_event.11	물풍선 대전 중에는 진행할 수 없습니다.
interface_event.12	이벤트 홀에서는 진행할 수 없습니다.
interface_event.13	이미 가위바위보 중입니다.
interface_event.14	전투중에는 진행할 수 없습니다.
interface_event.15	대전 중에는 진행할 수 없습니다.
interface_event.16	스킬 사용중에는 진행할 수 없습니다.
interface_event.17	마창대회 중에는 진행할 수 없습니다.
interface_event.18	의자에 앉은 상태로 진행할 수 없습니다.
interface_focuslisten.1	最多可以屏蔽50人。
interface_fynnpetcomponent.1	不可行动的状态下无法使用。
interface_fynnpetcomponent.2	浪漫农场中无法使用。
interface_houseform.1	{0}街 {1}号
interface_inventory.1	与魔杖连接的部分魔法蒸发了
interface_inventory.2	魔杖耐久度变为0\n{0}但是道具阻止了魔法的蒸发。
interface_inventory.3	魔杖耐久度变为0\n{0}但是道具阻止了部分魔法的蒸发。
interface_inventory.4	随着魔杖的耐久度逐渐减变成0\n和魔杖连接的魔法有一部分蒸发了！！
interface_inventory.5	随着魔杖的耐久度逐渐减变成0\n和魔杖连接的魔法被全部蒸发！！
interface_inventory.6	{0} 道具阻止了魔法的蒸发。
interface_inventory.7	{0} 道具阻止了部分魔法的蒸发。
interface_inventory.8	已有熏香在燃烧，无法在该篝火处点燃更多熏香。
interface_inventory.9	篝火技能等级太低（当前等级：{0}）
interface_inventory.10	篝火等级不足，无法点燃选中的熏香。
interface_item.1	神圣的
interface_item.2	不能放空白乐谱。
interface_item.3	不能放没有剩余使用次数的乐谱。
interface_item.4	（未激活）
interface_personalrankingmgr.1	吉尔迦斯
interface_personalshopcustomer.1	防具
interface_personalshopcustomer.2	武器
interface_personalshopcustomer.3	饰品
interface_personalshopcustomer.4	魔法释放
interface_personalshopcustomer.5	药水与食物
interface_personalshopcustomer.6	书籍
interface_personalshopcustomer.7	其它
interface_personalshopcustomer.8	整体
interface_personalshopcustomer.9	无
interface_personalshopcustomer.10	人类
interface_personalshopcustomer.11	人类/男
interface_personalshopcustomer.12	人类/女
interface_personalshopcustomer.13	精灵
interface_personalshopcustomer.14	精灵/男
interface_personalshopcustomer.15	精灵/女
interface_personalshopcustomer.16	巨人
interface_personalshopcustomer.17	巨人/男
interface_personalshopcustomer.18	巨人/女
interface_personalshopcustomer.19	整体
interface_personalshopcustomer.20	无
interface_petmgr.1	戴着devCAT头衔，吞食没有限制。
interface_petmgr.2	此怪物无法吞食。
interface_petmgr.3	此怪物好像无法吞食。
interface_petmgr.4	此怪物好像生命力太强，无法吞食。
interface_petmgr.5	此怪物好像力量太大，无法吞食。
interface_prop.1	被{0}破坏的{1}
interface_prop.2	被{0}开启的{1}
interface_prop.3	{0}开的{1}
interface_prop.4	{0}建立的{1}
interface_prop.5	目前组队人数 : {0}名
interface_prop.6	红队组队人数：{0}名
interface_prop.7	蓝队组队人数：{0}名
interface_quest.1	(今日任务)
interface_quest.2	(今日任务)
interface_quest.3	 (PC방 오늘의 미션)
interface_quest.4	 (PC방 오늘의 미션)
interface_quest.5	(VIP 今日任务)
interface_quest.6	(VIP 今日任务)
interface_quest.7	新手
interface_quest.8	佣兵
interface_quest.9	首席
interface_quest.10	达人
interface_quest.11	大
interface_quest.12	大师级
interface_quest.13	新手
interface_quest.14	简单
interface_quest.15	普通
interface_quest.16	困难
interface_quest.17	非常困难
interface_quest.18	宗师级
interface_quest.19	（评论增益）
interface_quest.20	(豪华VIP 今日任务)
interface_quest.21	(豪华VIP 今日任务)
interface_quest.22	（特殊今日任务）
interface_quest.23	（特殊今日任务）
interface_quest.24	（青色棱镜奖励）
interface_quest.25	（青色棱镜奖励）
interface_quest.26	（成长支援符咒奖励）
interface_quest.27	（成长支援符咒奖励）
interface_rockpaperscissors.1	若没有对决券则无法进行猜拳对决。
interface_rockpaperscissors.2	对方没有对决卷。
interface_rockpaperscissors.3	因在猜拳对决途中移动至其它地区，而导致在对决中落败。
interface_rockpaperscissors.4	因对手在猜拳对决途中移动至其它地区，而致使你在对决中获胜。
interface_rockpaperscissors.5	因你处于濒死状态，而导致取消了猜拳对决。
interface_rockpaperscissors.6	因对方处于濒死状态，而导致取消了猜拳对决。
interface_rockpaperscissors.7	가위바위보를 진행할 수 없는 상태입니다.
interface_rockpaperscissors.8	상대방이 가위바위보를 진행할 수 없는 상태입니다.
interface_servicemgr.1	基本服务包
interface_servicemgr.2	高级服务包
interface_servicemgr.3	洛奇 VIP
interface_servicemgr.4	高级VIP服务
interface_servicemgr.6	豪华VIP
interface_shapeshift.1	只有在装备逐梦者的状态之下才可进行变身。
interface_shapeshift.2	现在还无法进行变身。请在{0}秒之后重新尝试。
interface_shapeshift.3	在解除变身状态之后才可变身成其它怪物。
interface_shapeshift.4	骑乘状态下无法进行变身。
interface_shapeshift.5	在变身状态下无法进行。
interface_shapeshift.6	在使用雨伞的状态下无法进行变身。
interface_shapeshift.7	在使用钓鱼椅子的状态下无法进行变身。
interface_shapeshift.8	在设置炮塔的状态下无法进行变身。
interface_shapeshift.9	在使用操纵术的状态下无法进行变身。
interface_shapeshift.10	此地区无法进行变身。
interface_shapeshift.11	在服装大赛途中无法进行变身。
interface_shapeshift.12	变身精通等级太低。
interface_shapeshift.13	在装备翅膀的状态下无法进行变身。
interface_shapeshift.14	在使用紫外线浴床的状态下，无法进行变身。
interface_shapeshift.15	在进行服饰专属动作的状态下无法进行变身。
interface_shapeshift.16	若想使用该技能，需要穿戴附带服装动作2技能的服饰。
interface_shapeshift.17	通过动作技能来变身的期间，无法进行其他变身。
interface_shapeshift.18	现在处于无法变身的状态。
interface_shapeshift.19	当前为无法变身的状态。
interface_shapeshift.20	散步中无法变身。
interface_shapeshift.21	强制变身状态下无法变为其他外形。
interface_skilldescmgr.1	Skill [{0}] Level[{1}] - invalid promotion count
interface_skilldescmgr.2	Skill [{0}] Level[{1}] - invalid promotion exp
interface_skilldescmgr.3	\n技能数据出错。\n'necessary_crystal' 需要相关信息。\n技能名称 : {0}, 技能等级 : {1}
interface_skilldescmgr.4	\n技能数据出错。\n'alchemy_elemental_ratio' 需要相关信息。\n技能名称 : {0}, 技能等级 : {1}
interface_skilldescmgr.5	\n技能数据出错。\n'alchemy_elemental_point' 需要相关信息。\n技能名称 : {0}, 技能等级 : {1}
interface_skilldescmgr.6	Life {0}
interface_skilldescmgr.7	Mana {0}
interface_skilldescmgr.8	Stamina {0}
interface_skilldescmgr.9	Str {0}
interface_skilldescmgr.10	Int {0}
interface_skilldescmgr.11	Dex {0}
interface_skilldescmgr.12	Will {0}
interface_skilldescmgr.13	Luck {0}
interface_skillhandler.1	在穿着重甲的情况下，不能使用3段连续技。
interface_skillhandler.2	使用过运气调息技能后,再使用魔法或炼金术时\n生命值,魔法值和体力值均会下降。
interface_skillhandler.3	现在不能使用技能。{0}秒后请重试。
interface_skillhandler.4	使用{0}需要{1}。
interface_skillhandler.5	使用{0}需要{1}。
interface_skillhandler.6	因为武器耐久度为0，所以无法使用{0}。
interface_skillhandler.7	因为武器使用时间已过，所以无法使用{0}。
interface_skillhandler.8	不能在这里使用。
interface_skillhandler.9	当前无法使用技能。\n登录游戏的状态下，{0} 后再次尝试。
interface_skillhandler.10	现在无法使用特性技能。{0}秒后重试。
interface_skillhandlerparam.1	多尔卡不足，无法使用技能。
interface_skillmgr.1	所有属性已达到满值
interface_skillmgruse.1	距离过远而无法操纵人偶。\n人偶操纵术被取消了。
interface_skillmgruse.2	因为武器耐久度为0，所以无法使用{0}。
interface_soulmate.1	只能在浪漫岛之上进行申请。
interface_soulmate.2	目前已与其他人结成了灵魂伙伴。
interface_soulmate.3	对方目前已与其他人结成了灵魂伙伴。
interface_specialization.1	未满足条件。
interface_specialization.2	未激活的特性技能。
interface_standardapi.1	일반
interface_standardapi.2	브론즈
interface_standardapi.3	실버
interface_standardapi.4	골드
interface_standardapi.5	플래티넘
interface_standardapi_gamemonth.1	提高致命一击的概率。\t提高幸运一击的概率。\t增加演奏成功率。\t增加魔法音乐成功率。\t增加变成魔法音乐的概率。
interface_standardapi_gamemonth.2	提高生产技能成功率。\t增加生活系列技能等级提升奖励。\t提升生产物品的品质。
interface_standardapi_gamemonth.3	丢入相同物品，其地下城也会有所不同。\t提高地下城掉宝率。\t增加战斗相关技能等级提升奖励。
interface_standardapi_gamemonth.4	提高从自然界或动物中获得物品的概率。\t可以在商店以便宜的价格买东西。\t银行的手续费降低。\t完整修炼技能时增加获得经验值。
interface_standardapi_gamemonth.5	提高魔法释放的成功率。\t增加魔法相关技能等级提升奖励。\t增加使用装备获得的熟练度。
interface_standardapi_gamemonth.6	无法行动时，减少惩罚。\t提高所有药水的效果。\t完成任务时，增加所得奖励。
interface_standardapi_gamemonth.7	随着年龄的增长获得AP。\t提高食物的基本效果。\t增加探测仪的效果。\t可以素描小范围移动的动物。
interface_standardapi_gamemonth.8	提高致命一击的概率。\n提高幸运一击的概率。\n增加演奏成功率。\n增加魔法音乐成功率。\n增加变成魔法音乐的概率。
interface_standardapi_gamemonth.9	提高生产技能成功率。\n增加生活系列技能等级提升奖励。\n提升生产物品的品质。
interface_standardapi_gamemonth.10	丢入相同物品，其地下城也会有所不同。\n提高地下城掉宝率。\n增加战斗相关技能等级提升奖励。
interface_standardapi_gamemonth.11	提高从自然界或动物中获得物品的概率。\n可以在商店以便宜的价格买东西。\n银行的手续费降低。\n完整修炼技能时增加获得经验值。
interface_standardapi_gamemonth.12	提高魔法释放的成功率。\n增加魔法相关技能等级提升奖励。\n增加使用装备获得的熟练度。
interface_standardapi_gamemonth.13	无法行动时，减少惩罚。\n提高所有药水的效果。\n完成任务时，增加所得奖励。
interface_standardapi_gamemonth.14	随着年龄的增长获得AP。\n提高食物的基本效果。\n增加探测仪的效果。\n可以素描小范围移动的动物。
interface_standardapi_gamemonth.15	年龄增加获得 AP。\n提高饮食的基本效果。
interface_standardapi_gamemonth.16	年龄增加获得 AP。\n提高饮食的基本效果。
interface_standardapi_gamemonth.17	{0}天{1}小时{2}分钟{3}秒后
interface_standardapi_gamemonth.18	{0}天{1}小时{2}分钟后
interface_standardapi_gamemonth.19	{0}天{1}分钟{2}秒后
interface_standardapi_gamemonth.20	{0}天{1}秒后
interface_standardapi_gamemonth.21	{0}小时{1}分钟{2}秒后
interface_standardapi_gamemonth.22	{0}小时{1}秒后
interface_standardapi_gamemonth.23	{0}分钟{1}秒后
interface_standardapi_gamemonth.24	{0}秒后
interface_standardapi_gamemonth.25	{0}天 
interface_standardapi_gamemonth.26	{0}小时 
interface_standardapi_gamemonth.27	{0}分 
interface_standardapi_gamemonth.28	{0}秒
interface_standardapi_gamemonth.29	不到1分钟
interface_standardapi_util.1	当前无法使用。
interface_standardapi_util.2	正在进行教程的角色无法使用。\n(首次转生以后才能使用)
interface_standardapi_util.3	未满20级的角色无法使用。
interface_standardapi_util.4	骑乘时无法使用。
interface_standardapi_util.5	战斗中无法使用。
interface_standardapi_util.6	死亡时无法使用。
interface_standardapi_util.7	贸易中无法使用。
interface_standardapi_util.8	对战中无法使用。
interface_standardapi_util.9	使用技能中无法使用。
interface_standardapi_util.10	飞行中无法使用。
interface_standardapi_util.11	骑士冲锋战中无法使用。
interface_standardapi_util.12	服装大赛中无法使用。
interface_standardapi_util.13	变身中无法使用。
interface_standardapi_util.14	半神化中无法使用。
interface_standardapi_util.15	宠物或者伙伴召唤中无法使用。
interface_standardapi_util.16	此处无法使用。
interface_standardapi_util.18	单手剑
interface_standardapi_util.19	单手钝器
interface_standardapi_util.20	单手斧
interface_standardapi_util.21	双手剑
interface_standardapi_util.22	双手钝器
interface_standardapi_util.23	双手斧
interface_standardapi_util.24	骑士枪
interface_standardapi_util.25	投射器
interface_standardapi_util.26	弓
interface_standardapi_util.27	弩
interface_standardapi_util.28	魔杖
interface_standardapi_util.29	法杖
interface_standardapi_util.30	铳炮
interface_standardapi_util.31	拳套
interface_standardapi_util.32	操纵杆
interface_standardapi_util.33	手里剑
interface_standardapi_util.34	双枪
interface_standardapi_util.35	链刃
interface_standardapi_util.36	座塔铳炮
interface_standardapi_util.37	\n<color=2><outlinecolor=3>(거래 및 경매장 이용이 가능해 질 때 까지 {0} 남았습니다.)</outlinecolor></color>
itemenhancedescmgr.1	{0} {1}类型改造为{2}阶段。\n
itemenhancedescmgr.2	{0} {1}类型转换为{2}阶段，{3}类型转换为{4}阶段。\n
itemenhancedescmgr.3	改造为{0} {1}阶段。\n
itemoptiondeschelper.1	看起来稍微弱一些
itemoptiondeschelper.2	魔法攻击力
itemoptiondeschelper.3	风暴持续时间
itemoptiondeschelper.4	风暴范围
itemoptiondeschelper.5	栅栏耐久度
itemoptiondeschelper.6	体力值消耗量
itemoptiondeschelper.7	穿刺等级
itemoptiondeschelper.8	尺度比率
itemoptiondeschelper.9	音乐技能的增益效果
itemoptiondeschelper.10	音乐技能增益效果的持续时间
itemoptiondeschelper.11	最小伤害
itemoptiondeschelper.12	最大伤害
itemoptiondeschelper.13	探险经验值
itemoptiondeschelper.14	贸易物品栏
itemoptiondeschelper.15	贸易重量
itemoptiondeschelper.16	组队战斗经验值
itemoptiondeschelper.17	宠物战斗经验值
itemoptiondeschelper.18	所有使用了自身设置的庆典料理的角色效果持续时间
itemoptiondeschelper.19	铁匠制作结果最大属性限制
itemoptiondeschelper.20	木工制作结果最大属性限制
itemoptiondeschelper.21	贸易物品购买优惠率
itemoptiondeschelper.22	信用度上升率
itemoptiondeschelper.23	商店售价
itemoptiondeschelper.24	时间扭曲无视冷却时间次数
itemoptiondeschelper.25	抵消冲击发动时防御
itemoptiondeschelper.26	抵消冲击发动时防魔法防御
itemoptiondeschelper.27	触发暴击时重置连续技冷却时间的概率
itemoptiondeschelper.28	连续技伤害
itemoptiondeschelper.29	人偶魔法保护
itemoptiondeschelper.30	菲恩同步大成功概率
itemoptiondeschelper.31	选择魔法阵时可以布置的图形数量
itemoptiondeschelper.32	制成魔法阵图案的使用次数
itemoptiondeschelper.33	3大属性精通伤害
itemoptiondeschelper.34	瞄准率校正
itemoptionset.1	精灵
itemqualitymgr.1	将来希望的奖励
itemqualitymgr.2	宗师级制作奖励：
itemupgradedesc.1	(为发现)
mabiauctionmgr.1	销售中
mabiauctionmgr.2	销售成功
mabiauctionmgr.3	销售失败
mabiauctionmgr.4	竞拍中
mabiauctionmgr.5	需要重新竞拍
mabiauctionmgr.6	购买失败
mabiauctionmgr.7	购买成功
mabinogi_commerce.1	贸易物资交易失败。(0)
mabinogi_commerce.2	在该交易所的信用度不够。
mabinogi_commerce.3	杜卡特不足。
mabinogi_commerce.4	售价变更了。
mabinogi_commerce.5	贸易物资交易失败。(1)
mabinogi_commerce.6	非本交易所可以购入的物品。
mabinogi_commerce.7	货物不足。
mabinogi_commerce.8	没有货了。
mabinogi_commerce.9	价格行情更新了。请重新确认后再进行贸易。
mabinogi_commerce.10	无法出售给该交易所。
mabinogi_commerce.11	无法进行交易。
mabinogi_commerce.12	载重不足。
mabinogi_commerce.13	没有运输工具。
mabinogi_commerce.14	交易贸易物品失败。(2)
mabinogi_commerce.15	贸易物资与交易所的距离太远。
mabinogi_commerce.16	贸易物资交易失败。(11)
mabinogi_commerce.17	箱位不足。
mabinogi_commerce.18	未能获取运输工具信息。
mabinogi_commerce.19	向运输助手支付一定杜卡特\n即可使用运输工具。
mabinogi_commerce.20	该运输工具\n无法承载目前货物的重量。
mabinogi_commerce.21	该运输工具\n装载货物所需的箱位不足。
mabinogi_commerce.22	贸易物资交易失败。(12)
mabinogi_commerce.23	暂时无法使用贸易功能。
mabinogi_commerce.24	贸易物资交易失败。(99)
mabinogi_commerce.25	交易物品不足。
mabinogi_commerce.26	无法进行交易的贸易物品。
mabinogi_commerce.27	此运输工具只能在召唤出贸易伙伴的状态下使用.\n请变更运输工具.
mabinogi_commerce.28	目前的运输工具只有在召唤出羊驼的状态下使用。\n请更换运输工具。
mabinogi_commerce.29	没有可以使用当前运输工具的伙伴。\n请变更运输工具。
mabinogi_commerce.30	当前的运输工具只能在活动中使用。\n请变更运输工具。
mabinogi_etcconstants.1	简单
mabinogi_etcconstants.2	普通
mabinogi_etcconstants.3	困难
mabinogi_fieldquest.1	已经进入了该任务区域。
mabinogi_fieldquest.2	人物无法查找。请重新尝试。
mabinogi_fieldquest.3	您所选择的位置为无效位置。
mabinogi_fieldquest.4	该任务区域无法查找。
mabinogi_fieldquest.5	未能成功进入该任务区域。
mabinogi_fieldquest.6	无法选择。
mabinogi_gameword.1	毒免疫套装效果数值
mabinogi_gameword.2	石化免疫套装效果数值
mabinogi_gameword.3	减少魔法消耗
mabinogi_gameword.4	减少体力消耗
mabinogi_gameword.5	爆炸抵抗套装效果数值
mabinogi_gameword.6	践踏抵抗套装效果数值
mabinogi_gameword.7	火属性炼金术伤害
mabinogi_gameword.8	土属性炼金术伤害
mabinogi_gameword.9	风属性炼金术伤害
mabinogi_gameword.10	水属性炼金术伤害
mabinogi_gameword.11	合成成功率
mabinogi_gameword.12	分解成功率
mabinogi_gameword.13	制作结晶成功率
mabinogi_gameword.14	魔法防御
mabinogi_gameword.15	魔法攻击力
mabinogi_gameword.16	攻击速度增加
mabinogi_gameword.17	累积等级
